Activity,GV[4]_GM_F_BB_nCi_2_SS12_P_LGP[1-7]_dc4_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,GV[3]_V_F_AB_nCi_2_SS13_A_LGP[3]_p_MAS,TS[4]_I50_F_BB_nCi_2_SS10_T_LGP[4-6]_hx_MAS,GV[2]_V_F_AB_nCi_2_SS14_n_X_LGP[1-3]_e_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
6.11,0,5.735238,38.957543,0.169111,0.146795,0.331011,1.097663,0.352079
9,0,6.742337,45.491342,0.193203,0.230897,0.349049,0.423217,0.982311
7.64,0,6.859154,20.083688,0.233377,0.171963,0.254454,0.294076,0.198765
7.31,0,6.918005,20.549611,0.231427,0.166439,0.162956,0.254696,0.193884
7.3,0.016735,10.270696,32.98045,0.09161,0.183209,0.352068,0.18592,0.513293
8.54,0.014177,15.189233,55.34142,0.069374,0.455534,0.541895,0.413087,0.599347
8.52,0.005889,11.433388,41.50081,0.114216,0.448854,0.41154,0.227458,0.64509
8.92,0.01125,10.367469,37.037755,0.117791,0.34826,0.367256,0.217726,0.518119
8.92,0.004631,12.486156,44.642783,0.106922,0.410654,0.728117,0.206599,1.069422
8.96,0.02,10.301516,38.773953,0.021841,0.254759,0.477458,0.183899,0.403047
8.55,0.009609,10.861024,43.152783,0.116976,0.336847,0.458491,0.226678,0.487543
9.22,0.005874,11.032619,37.943401,0.120006,0.481909,0.41761,0.192532,0.903484
8,0.071228,8.641884,47.9609,0.080978,0.039924,0.597392,0.129881,1.245877
8.11,0.086191,10.547439,50.877332,0.080438,0.250202,0.591397,0.157612,1.003045
7.92,0.08241,9.723297,41.540986,0.074676,0.039585,0.53768,0.118093,0.289673
8.15,0.016603,9.249487,38.552232,0.095107,0.108838,0.644242,0.416959,0.625976
5.55,0,2.890286,15.709506,0.316885,0.055818,0.18263,0.26247,0.148131
6.07,0,4.063126,18.402263,0.298785,0.090982,0.287567,0.279149,0.177834
6.37,0.043674,4.597376,21.381152,0.146158,0.027337,0.493916,0.164192,0.340711
6.7,0,5.802566,17.576391,0.22624,0.121617,0.272695,0.265348,0.251756
2.7,0,2.83904,20.754887,0.289867,0.028279,0.352608,0.185144,0.252999
2.87,0,4.106358,26.454232,0.272204,0.055573,0.311038,0.209872,0.205968
4.96,0,6.859154,20.083688,0.233377,0.171963,0.254454,0.294076,0.198765
2.74,0,5.802566,17.576391,0.22624,0.121617,0.272695,0.265348,0.251756
2.96,0,6.029761,28.074034,0.184801,0.12148,0.407148,0.21951,0.17294
2.98,0,7.537043,28.780719,0.161322,0.11764,0.277763,0.206105,0.220879
3.26,0.021955,4.710228,30.604906,0.138717,0.015021,0.281488,0.143893,0.414678
3.35,0,4.771352,21.368066,0.199753,0.25538,0.173808,0.366144,0.093064
3.38,0,6.752173,25.384078,0.20808,0.409735,0.209277,0.356789,0.149031
3.89,0,8.0374,25.946252,0.168535,0.402362,0.162529,0.336859,0.21246
3.22,0.045837,4.048421,25.946252,0.152201,0.0679,0.61888,0.219759,0.247637
3.72,0.036353,5.047325,24.467318,0.145208,0.112388,0.520736,0.248689,0.207668
4.28,0.029537,6.400922,25.407654,0.102333,0.145935,0.302802,0.2295,0.215396
4.77,0,8.721631,20.549611,0.226831,0.150425,0.573126,0.303798,0.496965
2.96,0,3.565952,8.877841,0.284469,0.005772,0.189185,0.43632,0.043599
3.19,0,5.622908,17.576391,0.232227,0.074951,0.458891,0.240078,0.120007
3.48,0,5.883712,28.074034,0.217046,0.079231,0.205268,0.208218,0.304331
5.31,0,7.909681,31.433121,0.191591,0.157731,0.396563,0.273965,0.27443
5.62,0,7.336735,36.267587,0.182403,0.561233,0.386422,0.296831,0.596978
4.32,0,5.429368,29.470675,0.203876,0.060396,0.589759,0.668284,0.209063
7.92,0.004393,14.128333,66.0782,0.064066,0.13033,0.930375,0.272848,1.106331
6.41,0.012126,13.179728,55.761334,0.069272,0.110398,0.422526,0.277189,0.59566
9.6,0.072868,11.342071,62.897246,0.060929,0.044488,0.522467,0.195929,0.896125
8.46,0.00439,19.043518,68.271186,0.047731,0.139694,0.61658,0.255034,1.094294
7.82,0.008002,19.62185,61.039283,0.061624,0.122179,0.418159,0.276319,0.784053
7.92,0,16.599093,50.768156,0.083519,0.205829,0.40005,0.238919,0.550969
7,0.010665,15.741838,45.958075,0.052454,0.104341,0.328461,0.186953,0.424766
6.66,0.010665,15.741838,45.958075,0.052454,0.104341,0.328461,0.186953,0.424766
7.44,0.011,13.58026,49.099222,0.100595,0.137655,0.697665,0.551441,1.10847
9.31,0.011056,17.489437,51.511362,0.071878,0.135533,0.598404,0.470163,1.398728
9.88,0.018315,13.4208,51.511362,0.087967,0.079617,0.641529,0.464101,1.359604
9.05,0.011175,14.372264,51.868326,0.087874,0.104708,0.773434,0.461821,1.349358
9.28,0.011175,13.621288,51.868326,0.093442,0.126126,0.581279,0.460283,1.79333
9.28,0.011058,14.145048,49.9609,0.097459,0.182602,0.55499,0.521048,1.545912
8.72,0.011058,14.145048,49.9609,0.097459,0.182602,0.55499,0.521048,1.545912
8.59,0.011106,15.268129,50.762304,0.086448,0.22344,0.602916,0.465645,1.78796
9.06,0.011059,13.352188,55.47259,0.097338,0.173179,0.625728,0.53167,1.233499
7.8,0.011059,13.352188,55.47259,0.097338,0.173179,0.625728,0.53167,1.233499
9.2,0.011105,14.072557,50.762304,0.093708,0.213807,0.555249,0.447878,1.851715
8.97,0.042766,11.425378,50.368601,0.060742,0.063348,0.567604,0.497957,1.475961
9.53,0.011125,17.17072,50.368601,0.08358,0.259074,0.549522,0.540292,1.557378
9.53,0.048527,12.23353,50.762304,0.078496,0.047831,0.664129,0.445964,1.078077
2.46,0,5.257258,30.780719,0.208718,0.180172,0.553746,0.312128,0.295497
4.11,0,5.257258,30.780719,0.208718,0.180172,0.553746,0.312128,0.295497
4.72,0,3.037709,18.402263,0.226029,0.199196,0.214359,0.32934,0.187783
5.1,0,3.7511,17.01955,0.253499,0.23513,0.202155,0.372646,0.1846
3.27,0,3.7511,17.01955,0.253499,0.23513,0.202155,0.372646,0.1846
2.14,0,4.500864,19.576391,0.235439,0.276798,0.262857,0.39139,0.238751
4.17,0,3.957734,19.01955,0.236881,0.182444,0.219139,0.268377,0.322901
3.64,0.035242,4.104546,28.780719,0.148131,0.042852,0.421306,0.161278,0.658458
6.12,0.092843,3.725011,27.407654,0.080944,0.019501,0.369009,0.188169,0.283063
7.19,0.069585,4.665158,25.835203,0.076067,0.039516,0.477367,0.205272,0.217711
6.44,0.069585,4.665158,25.835203,0.076067,0.039516,0.477367,0.205272,0.217711
5.34,0.085773,4.626738,27.835203,0.074817,0.019054,0.434045,0.141101,0.338321
7.46,0.061887,5.688778,26.238666,0.064882,0.036504,0.420661,0.155829,0.214267
4.48,0.061887,5.688778,26.238666,0.064882,0.036504,0.420661,0.155829,0.214267
