Activity,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,ES_I50_F_AB_nCi_2_NS8_n_T_LGP[2-6]_dc4_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,AC[2]_P3_F_BB_nCi_2_MP13_T_LGP[4]_dc2_MAS,GV[3]_V_F_AB_nCi_2_SS13_A_LGP[3]_p_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS
6.11,31923.56,58854.05739,0.000612,38.957543,0.169111,0.000269,0.146795,0.922181
9,195805.04,125825.51,0.000019,45.491342,0.193203,0.000201,0.230897,1.531623
7.64,30832.56,49777.86137,0.000045,20.083688,0.233377,0.000275,0.171963,0.13366
7.31,30965.28,48369.22822,0.00003,20.549611,0.231427,0.0003,0.166439,0.079029
7.3,0,50580.28944,0.000016,32.98045,0.09161,0.000202,0.183209,0.486829
8.54,19311.36,36459.89922,0.000024,55.34142,0.069374,0.00019,0.455534,0.697946
8.52,0,34814.59097,0.000022,41.50081,0.114216,0.000204,0.448854,0.363326
8.92,0,35428.19215,0.000024,37.037755,0.117791,0.00021,0.34826,0.499149
8.92,0,39388.87497,0.000031,44.642783,0.106922,0.000219,0.410654,0.449434
8.96,0,32106.48347,0.000011,38.773953,0.021841,0.000095,0.254759,0.40907
8.55,30509.44,35270.29474,0.000082,43.152783,0.116976,0.000194,0.336847,0.529052
9.22,0,43936.5596,0.000022,37.943401,0.120006,0.000209,0.481909,0.386653
8,23797.12,52204.22705,0.000014,47.9609,0.080978,0.000161,0.039924,0.426146
8.11,23801.68,50399.66941,0.000014,50.877332,0.080438,0.000138,0.250202,0.484327
7.92,24108.72,47163.73692,0.000004,41.540986,0.074676,0.000083,0.039585,0.186994
8.15,0,60682.26629,0.000051,38.552232,0.095107,0.000191,0.108838,0.548635
5.55,0,16177.09201,0.000154,15.709506,0.316885,0.000289,0.055818,0.409714
6.07,0,21866.55664,0.000369,18.402263,0.298785,0.000291,0.090982,0.205221
6.37,3553.2,25976.79106,0.000049,21.381152,0.146158,0.000206,0.027337,0.061291
6.7,30811,43589.47839,0.000059,17.576391,0.22624,0.000161,0.121617,0.150982
2.7,0,6566.901267,0.000649,20.754887,0.289867,0.00031,0.028279,0.842654
2.87,0,18745.03933,0.000453,26.454232,0.272204,0.000278,0.055573,0.819556
4.96,30832.56,49777.86137,0.000045,20.083688,0.233377,0.000275,0.171963,0.13366
2.74,30811,43589.47839,0.000059,17.576391,0.22624,0.000161,0.121617,0.150982
2.96,0,38786.13207,0.000303,28.074034,0.184801,0.000176,0.12148,0.507786
2.98,0,39403.52709,0.000254,28.780719,0.161322,0.000151,0.11764,0.433186
3.26,3565.96,27616.63302,0.000058,30.604906,0.138717,0.000206,0.015021,0.426053
3.35,30701.68,43415.63166,0.000197,21.368066,0.199753,0.00022,0.25538,0.790596
3.38,30726.28,52894.77112,0.000098,25.384078,0.20808,0.000321,0.409735,0.402511
3.89,30726.28,56023.82521,0.000081,25.946252,0.168535,0.000291,0.402362,0.274858
3.22,3551.68,25490.75723,0.000064,25.946252,0.152201,0.000202,0.0679,0.426872
3.72,3551.68,23896.19063,0.00006,24.467318,0.145208,0.000278,0.112388,0.469651
4.28,3551.68,29446.86401,0.000057,25.407654,0.102333,0.000229,0.145935,0.218754
4.77,30991.6,61878.02166,0,20.549611,0.226831,0.000166,0.150425,0.175307
2.96,0,7115.918333,0,8.877841,0.284469,0.000056,0.005772,0
3.19,15375.84,40781.29243,0.000066,17.576391,0.232227,0.000045,0.074951,0.092116
3.48,31757.8,39247.23041,0.000045,28.074034,0.217046,0.000162,0.079231,0.566266
5.31,58133.28,36294.84728,0.000038,31.433121,0.191591,0.000255,0.157731,0.296294
5.62,56788.08,35015.82443,0.00013,36.267587,0.182403,0.000255,0.561233,0.633873
4.32,32037.24,42307.01166,0.000048,29.470675,0.203876,0.00014,0.060396,0.969102
7.92,0,57796.85895,0.000022,66.0782,0.064066,0.000085,0.13033,0.651341
6.41,1516.4,54613.18097,0.000017,55.761334,0.069272,0.000092,0.110398,0.693621
9.6,9853.92,60051.01448,0.000005,62.897246,0.060929,0.000079,0.044488,0.511677
8.46,0,61696.63904,0.000016,68.271186,0.047731,0.000113,0.139694,0.551545
7.82,49843.52,68496.31916,0.000008,61.039283,0.061624,0.000076,0.122179,0.499822
7.92,0,47752.58891,0.000057,50.768156,0.083519,0.000143,0.205829,0.541665
7,2886.64,39127.30703,0.000021,45.958075,0.052454,0.000127,0.104341,0.506327
6.66,2886.64,39127.30703,0.000021,45.958075,0.052454,0.000127,0.104341,0.506327
7.44,0,67596.69253,0.000003,49.099222,0.100595,0.000193,0.137655,0.403844
9.31,0,79838.68701,0.000002,51.511362,0.071878,0.000206,0.135533,0.280343
9.88,0,66619.1683,0.000002,51.511362,0.087967,0.000183,0.079617,0.334123
9.05,0,46306.59345,0.000001,51.868326,0.087874,0.000182,0.104708,0.313659
9.28,0,42554.36171,0.000002,51.868326,0.093442,0.000182,0.126126,0.319882
9.28,0,72110.47113,0.000003,49.9609,0.097459,0.000199,0.182602,0.379728
8.72,0,72110.47113,0.000003,49.9609,0.097459,0.000199,0.182602,0.379728
8.59,0,65124.65585,0.000003,50.762304,0.086448,0.000151,0.22344,0.348088
9.06,0,71232.12796,0.000026,55.47259,0.097338,0.000199,0.173179,0.477451
7.8,0,71232.12796,0.000026,55.47259,0.097338,0.000199,0.173179,0.477451
9.2,0,58884.67332,0.000003,50.762304,0.093708,0.000167,0.213807,0.348088
8.97,0,61676.61051,0.000002,50.368601,0.060742,0.000173,0.063348,0.36483
9.53,0,55760.38794,0,50.368601,0.08358,0.000205,0.259074,0.320016
9.53,0,88175.27872,0.000004,50.762304,0.078496,0.00016,0.047831,0.354016
2.46,0,31648.17535,0.000331,30.780719,0.208718,0.000128,0.180172,0.179273
4.11,0,31648.17535,0.000331,30.780719,0.208718,0.000128,0.180172,0.179273
4.72,0,30676.06389,0.000507,18.402263,0.226029,0.000293,0.199196,0.442971
5.1,0,29644.13417,0.000358,17.01955,0.253499,0.000486,0.23513,0.209679
3.27,0,29644.13417,0.000358,17.01955,0.253499,0.000486,0.23513,0.209679
2.14,0,28242.05087,0.000254,19.576391,0.235439,0.00017,0.276798,0.177428
4.17,0,32164.59984,0.000366,19.01955,0.236881,0.000238,0.182444,0.208214
3.64,44736.64,25663.46505,0.000433,28.780719,0.148131,0.000239,0.042852,0.560413
6.12,16827.44,26912.73676,0.000116,27.407654,0.080944,0.000151,0.019501,0.346641
